type,city,neighborhood,sold,price,toList,aboveList,dom,forSale,newlyListed,priceDrop,soldYoY,priceYoY,toListYoY,aboveListYoY,domYoY,forSaleYoY,newlyListedYoY,priceDropYoY
neighborhood,Bellevue,Downtown,115,523595,-0.01487534,0.27826087,13,61,190,0.161643836,-0.474885845,-0.079573042,0.023348693,0.059082787,13,-0.429906542,-0.321428571,0.066480029
neighborhood,Bellevue,East Lake Hills,0,,,,,0,0,,,,,,,,,
neighborhood,Bellevue,East Main,7,454714,0.022828893,0.571428571,10,2,7,,-0.363636364,0.222947786,0.033891332,0.207792208,6,-0.333333333,-0.222222222,
neighborhood,Bellevue,Enatai,4,580000,-0.025210084,0,59,1,4,0,,,,,,,-0.333333333,0
neighborhood,Bellevue,Factoria,56,246589,-0.01197202,0.285714286,7,19,71,0.365217391,0.142857143,0.100406535,-0.013453925,-0.183673469,1,0.583333333,0.543478261,0.208074534
neighborhood,Bellevue,Forest Ridge II,0,,,,,0,0,,,,,,,,,
neighborhood,Bellevue,Glendale,7,260857,-0.012813233,0.428571429,110,3,10,0.1875,1.333333333,,,,,-0.4,0.666666667,-0.098214286
neighborhood,Bellevue,Hidden Valley,12,387083,-0.03264161,0,15,6,25,0.157894737,-0.47826087,-0.124547667,-0.054199162,-0.739130435,-6,-0.142857143,-0.166666667,-0.017105263
neighborhood,Bellevue,Highlands II,7,294392,-0.005266462,0,12,2,5,0.6,0,-0.125691239,-0.006218843,-0.571428571,-2,-0.333333333,-0.615384615,
neighborhood,Bellevue,Horizon Crest,0,,,,,0,0,,,,,,,,,
neighborhood,Bellevue,Horizon Heights,0,,,,,0,0,,,,,,,,,
neighborhood,Bellevue,Interlake,0,,,,,0,0,,,,,,,,,
neighborhood,Bellevue,Killarney Circle,4,580000,-0.025210084,0,59,1,4,0,,,,,,,-0.333333333,0
neighborhood,Bellevue,Lake Heights,0,,,,,0,0,,,,,,,,,
neighborhood,Bellevue,Lake Hills,37,303810,-0.022352281,0.243243243,20,9,38,0.132075472,0,0.086149017,-0.044427933,-0.378378378,-13,-0.25,-0.283018868,0.001640689
neighborhood,Bellevue,Lakemont,4,525500,0.001143075,1,2,0,0,,0.333333333,,,,,,-1,
neighborhood,Bellevue,Lakemont Woods,0,,,,,0,0,,,,,,,,,
neighborhood,Bellevue,Meydenbauer,7,863714,-0.012754905,0,22,4,14,0.571428571,0.166666667,0.847022721,0.008496376,0,-17,-0.333333333,-0.066666667,0.480519481
neighborhood,Bellevue,Mockingbird Hill,0,,,,,0,0,,,,,,,,,
neighborhood,Bellevue,Newport,31,224725,-0.002287939,0.322580645,4,10,42,0.112903226,0.148148148,0.467390595,-0.000735831,0.026284349,14,-0.090909091,-0.142857143,-0.04886148
neighborhood,Bellevue,Newport Hills,31,224725,-0.002287939,0.322580645,4,9,36,0.125,0.55,0.535510277,-0.001581554,-0.077419355,5,0.125,0.090909091,0.059782609
neighborhood,Bellevue,Newport Shores,0,,,,,0,2,,-1,,,,,,-0.666666667,
neighborhood,Bellevue,Newport Yacht Club,0,,,,,0,0,,,,,,,,,
neighborhood,Bellevue,North Bellevue,13,231692,-0.000782269,0,9,4,18,0.44,0,0.225390848,0.027311028,-0.230769231,15,-0.5,-0.4375,0.210833333
neighborhood,Bellevue,Northeast Bellevue,8,381000,0.205696203,0.5,18,0,0,,-0.333333333,0.499757913,0.205696203,0.25,-4,-1,-1,
neighborhood,Bellevue,Northtowne,19,799894,-0.01556947,0,33,9,33,0.134615385,-0.321428571,0.315230081,-0.035910634,-0.535714286,-26,0.125,-0.195121951,-0.011217949
neighborhood,Bellevue,Northwest Bellevue,80,475226,-0.004108636,0.2875,22,51,162,0.198697068,-0.316239316,0.332370744,-0.005340323,-0.139850427,-14,-0.310810811,-0.298701299,0.081579951
neighborhood,Bellevue,Northwest Village,11,421272,0.02961694,0.636363636,22,1,0,,0.571428571,0.813154746,0.055064451,0.064935065,-8,,-1,
neighborhood,Bellevue,Old Bellevue,6,520044,-0.013576659,0.5,15,3,5,,-0.142857143,-0.11979432,-0.017658291,-0.071428571,-12,,-0.375,
neighborhood,Bellevue,Overlake,66,259765,-0.004531381,0.393939394,25,21,87,0.2578125,0,0.227071967,-0.00627789,-0.121212121,-20,-0.25,0.208333333,0.169055104
neighborhood,Bellevue,Phantom Lake,0,,,,,0,0,,,,,,,,,
neighborhood,Bellevue,Pikes Peak,0,,,,,0,0,,-1,,,,,,-1,
neighborhood,Bellevue,Rock Creek,0,,,,,1,2,,,,,,,,,
neighborhood,Bellevue,Sammamish,15,284333,0.012388456,0.8,6,4,19,0.16,-0.482758621,-0.196152269,-0.025355987,0.144827586,-2,-0.6,-0.604166667,0.108275862
neighborhood,Bellevue,Sherwood Forest,0,,,,,0,0,,,,,,,,,
neighborhood,Bellevue,Somerset,0,,,,,1,3,,-1,,,,,,,
neighborhood,Bellevue,Southwest Bellevue,0,,,,,0,0,,,,,,,,,
neighborhood,Bellevue,Spiritridge,0,,,,,2,6,0.363636364,-1,,,,,-0.6,-0.793103448,0.26686217
neighborhood,Bellevue,Summit,0,,,,,0,0,,,,,,,,,
neighborhood,Bellevue,Sunset Community Org,0,,,,,0,0,,,,,,,,,
neighborhood,Bellevue,Tam O'Shanter,0,,,,,0,0,,,,,,,,,
neighborhood,Bellevue,Vasa,9,192611,0.017450282,1,5,3,12,0.235294118,-0.653846154,-0.475558787,-0.025746407,0.269230769,0,-0.625,-0.684210526,0.17146433
neighborhood,Bellevue,Vuecrest,0,,,,,0,0,,,,,,,,-1,
neighborhood,Bellevue,Vuemont I & II,0,,,,,0,0,,,,,,,,,
neighborhood,Bellevue,Vuemont South,0,,,,,0,0,,-1,,,,,,-1,
neighborhood,Bellevue,West Bellevue,116,447568,-0.013774647,0.206896552,12,50,199,0.215231788,-0.524590164,-0.161998914,0.015231178,0.018371962,18,-0.431818182,-0.219607843,0.086443909
neighborhood,Bellevue,West Lake Hills,46,370065,-0.006579339,0.413043478,9,12,54,0.14084507,-0.041666667,0.208868926,-0.016462581,-0.066123188,5,-0.076923077,-0.068965517,0.063921993
neighborhood,Bellevue,Westwood Highlands,0,,,,,0,0,,,,,,,,,
neighborhood,Bellevue,Whispering Heights,0,,,,,0,0,,,,,,,,,
