type,city,neighborhood,sold,price,toList,aboveList,dom,forSale,newlyListed,priceDrop,soldYoY,priceYoY,toListYoY,aboveListYoY,domYoY,forSaleYoY,newlyListedYoY,priceDropYoY
neighborhood,Bellevue,City Center,0,,,,,0,0,,,,,,,,,
neighborhood,Bellevue,City Center North,0,,,,,0,0,,,,,,,,,
neighborhood,Bellevue,City Center South,0,,,,,0,0,,,,,,,,,
neighborhood,Bellevue,Cougar Mountain,181,940559,0.007702365,0.574585635,7,68,276,0.118226601,-0.071794872,0.188999192,0.006745354,0.133559994,2,-0.2,-0.118210863,-0.032458331
neighborhood,Bellevue,Crossroads,29,708413,0.003220435,0.413793103,8,8,43,0,0.45,0.324242883,-0.037793175,-0.186206897,0,0.333333333,0.482758621,0
neighborhood,Bellevue,Downtown,0,,,,,1,3,0,,,,,,,0,0
neighborhood,Bellevue,East Lake Hills,9,523000,0.101052632,1,4,5,15,,0.285714286,0.194453897,0.079596659,0.571428571,2,0.666666667,0.071428571,
neighborhood,Bellevue,East Main,0,,,,,0,0,,,,,,,,,
neighborhood,Bellevue,Enatai,56,1166535,-0.015564738,0.178571429,6,32,121,0.221649485,-0.050847458,0.189510393,-0.00256353,-0.177360775,15,0.103448276,0.406976744,0.021649485
neighborhood,Bellevue,Factoria,20,653824,0.102212653,1,4,7,32,0.175,0.111111111,0.220731889,0.074126414,0.222222222,5,0.166666667,0.142857143,0.093918919
neighborhood,Bellevue,Forest Ridge II,2,,,,,2,4,0.5,-0.333333333,,,,,,0,
neighborhood,Bellevue,Glendale,4,1648000,-0.030588235,0,21,1,2,0,,,,,,,,
neighborhood,Bellevue,Hidden Valley,31,1098870,0.001676816,0.451612903,10,10,47,0.06779661,-0.060606061,0.183354404,0.003796934,0.08797654,4,0,-0.06,0.06779661
neighborhood,Bellevue,Highlands II,3,,,,,1,7,0,0,,,,,,1.333333333,
neighborhood,Bellevue,Horizon Crest,7,691428,0.027559679,0.571428571,6,4,21,,-0.65,0.371758474,0.027255262,0.071428571,6,0,0.909090909,
neighborhood,Bellevue,Horizon Heights,4,653000,0.062038627,1,4,2,4,,-0.636363636,0.044041608,0.109569523,0.636363636,5,,1,
neighborhood,Bellevue,Interlake,39,534923,0.031489148,0.615384615,6,13,60,0.24,-0.506329114,0.076934382,0.02174117,0.071080818,1,-0.434782609,-0.487179487,
neighborhood,Bellevue,Killarney Circle,14,1220106,0.018720261,0.5,5,6,22,0.166666667,0,0.290389653,0.065445522,0.285714286,85,0,0.157894737,0.078431373
neighborhood,Bellevue,Lake Heights,8,539375,0.053225148,0.75,5,3,7,0.2,,,,,,,2.5,
neighborhood,Bellevue,Lake Hills,82,466703,0.018982949,0.548780488,6,29,137,0.151162791,-0.163265306,0.047835976,0.002480501,-0.073668492,0,-0.340909091,-0.259459459,-0.005325759
neighborhood,Bellevue,Lakemont,52,963000,-0.0118977,0.288461538,9,23,88,0.142857143,0.04,-0.233987718,0.005549605,-0.011538462,39,0.095238095,0.442622951,-0.071428571
neighborhood,Bellevue,Lakemont Woods,12,1502916,-0.009206166,0.25,51,5,8,,1,0.102248625,-0.000176066,0.25,-23,-0.285714286,-0.333333333,
neighborhood,Bellevue,Meydenbauer,20,1926900,0.041147643,0.5,48,7,24,0.139534884,1.5,0.948331648,0.070436808,0,236,-0.125,0.2,0.139534884
neighborhood,Bellevue,Mockingbird Hill,6,572500,0.100050288,1,4,3,9,0.2,,,,,,,3.5,
neighborhood,Bellevue,Newport,90,547797,0.018106315,0.566666667,6,38,167,0.2,0.011235955,-0.003108252,-0.021468112,-0.129962547,0,0,0.070512821,0.077192982
neighborhood,Bellevue,Newport Hills,63,541135,0.020258644,0.603174603,6,26,112,0.156862745,0.05,0.095785417,-0.035276106,-0.163492063,0,0.444444444,0.4,0.055010893
neighborhood,Bellevue,Newport Shores,11,1098454,0.011067194,0.363636364,4,8,32,0.078947368,-0.52173913,0.03124469,0.010083886,-0.071146245,6,-0.466666667,-0.407407407,-0.030942741
neighborhood,Bellevue,Newport Yacht Club,4,1220000,0.060869565,1,7,4,10,,-0.733333333,0.138839467,0.059387702,0.6,1,-0.555555556,-0.545454545,
neighborhood,Bellevue,North Bellevue,22,995090,-0.00811738,0.136363636,21,14,45,0.313253012,-0.463414634,0.247133107,-0.010510989,-0.27827051,-9,0.555555556,-0.042553191,0.256649238
neighborhood,Bellevue,Northeast Bellevue,110,520572,0.012616227,0.572727273,5,34,165,0.190243902,-0.375,-0.010104852,-0.003344752,-0.001136364,2,-0.32,-0.246575342,0.160143568
neighborhood,Bellevue,Northtowne,43,1225581,0.035678509,0.558139535,11,22,89,0.265151515,-0.317460317,0.430785719,0.033674922,0.145441122,0,0.222222222,-0.011111111,0.198484848
