region,city,neighborhood,sold,price,toList,aboveList,dom,forSale,drop,soldYoY,priceYoY,toListYoY,aboveListYoY,domYoY,forSaleYoY,dropYoY
neighborhood,Bellevue,Glendale,5,1567600,-0.028,0,17,1,0,,,,,,,
neighborhood,Bellevue,Hidden Valley,27,1325185,0.004,0.481,12,9,0.089,-0.182,0.523,0.01,0.148,3,0,0.089
neighborhood,Bellevue,Highlands II,3,900000,0.019,1,4,1,0,0,-0.017,-0.059,0,-1,,
neighborhood,Bellevue,Horizon Crest,8,693138,0.025,0.625,6,3,,-0.529,0.358,0.025,0.096,7,-0.25,
neighborhood,Bellevue,Horizon Heights,4,696875,0.037,0.75,4,2,,-0.667,0.133,0.084,0.417,13,,
neighborhood,Bellevue,Interlake,40,532550,0.032,0.625,7,10,0.254,-0.459,0.058,0.024,0.098,1,-0.545,0.239
neighborhood,Bellevue,Killarney Circle,11,1230136,-0.006,0.364,4,6,0.2,-0.313,0.257,0.028,0.114,76,0,0.144
neighborhood,Bellevue,Lake Heights,2,,,,,4,,,,,,,3,
neighborhood,Bellevue,Lake Hills,74,453251,0.027,0.635,6,26,0.118,-0.267,0.022,0.011,0.031,1,-0.366,-0.022
neighborhood,Bellevue,Lakemont,42,896996,-0.003,0.357,13,21,0.133,-0.087,-0.274,0.015,0.053,30,0,-0.099
neighborhood,Bellevue,Lakemont Woods,8,1572000,0.001,0.25,72,6,,1,0.153,0.01,0.25,-44,-0.25,
neighborhood,Bellevue,Meydenbauer,15,1747333,0.036,0.467,48,8,0.111,0.667,0.797,0.056,-0.089,205,0,0.09
neighborhood,Bellevue,Mockingbird Hill,5,551000,0.092,1,5,2,0.143,,,,,,,
neighborhood,Bellevue,Newport,71,557793,0.018,0.577,7,33,0.137,-0.202,0.027,-0.016,-0.074,0,-0.057,0.005
neighborhood,Bellevue,Newport Hills,52,552153,0.023,0.654,8,21,0.134,-0.161,0.124,-0.028,-0.088,-2,0.235,0.015
neighborhood,Bellevue,Newport Shores,12,1110667,0.01,0.333,5,7,0.073,-0.455,0.071,0.023,-0.03,24,-0.5,-0.046
